🔫浙江频道,#genre#
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8?
浙江经济,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?
教科影视,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8?
浙江影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?
天天6频道,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8?
中国蓝TV,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8?
中国蓝新闻,http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8?
余杭平安,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
余杭未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
浙江经济,http://hw-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江影视,http://hw-m-l.cztv.com/channels/lantian/channel05/720p.m3u8
浙江留学,http://hw-m-l.cztv.com/channels/lantian/channel09/720p.m3u8
建德综合频道,http://livejdrmt.chinamcache.com/live/jdzb02.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教育,http://hw-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
浙江6套,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/720p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江公共,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
