


鈿狅笍浣跨敤-椤荤煡,#genre#
馃毇鎺ュ彛,https://vd2.bdstatic.com/mda-mm595gmdf11p2pf0/1080p/cae_h264/1638806041749745133/mda-mm595gmdf11p2pf0.mp4
馃毇閰风尗,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
馃毇鍏嶈垂,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
馃毇鎻愪緵,https://vd3.bdstatic.com/mda-mdeu032ygvtkm95k/hd/mda-mdeu032ygvtkm95k.mp4
馃毇绂佹,https://vd2.bdstatic.com/mda-mjk1r7f9bjn14ge0/480p/h264/1634779831180994667/mda-mjk1r7f9bjn14ge0.mp4
馃毇鐩堝埄,https://vd2.bdstatic.com/mda-mmd9mt3nssu3xigc/480p/h264/1639464847859702051/mda-mmd9mt3nssu3xigc.mp4
馃毇杩濊,https://vd4.bdstatic.com/mda-mmncsg2n2cc3xdeg/480p/h264/1640253222392397868/mda-mmncsg2n2cc3xdeg.mp4
馃毇鍏抽棴,https://vd4.bdstatic.com/mda-mmncsg3gspc9rq5m/480p/h264/1640253169234879704/mda-mmncsg3gspc9rq5m.mp4
馃嚚馃嚦澶-棰戦亾,#genre#

CCTV-1缁煎悎,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1缁煎悎,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1缁煎悎,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-2璐㈢粡,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3缁艰壓,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3缁艰壓,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV4鍥介檯,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-1缁煎悎,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-5浣撹偛,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+璧涗簨,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-3缁艰壓,http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/mnf.m3u8?xtkg
CCTV-6鐢靛奖,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6鐢靛奖,http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-7鍐涗簨,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8鐢佃鍓??,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV-5浣撹偛,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-8鐢佃鍓??,http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV-9绾綍,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10绉戞暀,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10绉戞暀,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-12绀句細,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12绀句細,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-5+璧涗簨,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV-10绉戞暀,http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV-14灏戝効,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14灏戝効,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV13鏂伴椈,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14灏戝効,http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV-17鍐滀笟,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17鍐滀笟,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17鍐滀笟,http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
